Year,Player,Age,Hometown,Home State,Tm,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,FantPos,FantPt,Height (inches),Weight,College,College wins,College losses,DOB,Draft Round,Draft Year,Month_of_Birth
1999,Tony Banks,26,San Diego,CA,BAL,12,10,169,320,2136,17,8,24,93,3.88,0,0,0,,0,QB,147,76,230,Michigan St.,112,76,05-04-1973,2,1996,4
1999,Tony Vinson,28,Frankfurt,Germany,BAL,3,0,0,0,0,0,0,0,0,,0,0,0,,0,RB,,73,229,Purdue,92,94,13-03-1971,5,1994,3
1999,Alex Van Pelt,29,Pittsburgh,PA,BUF,1,0,1,1,9,0,0,1,-1,-1,0,0,0,,0,QB,,73,220,Pittsburgh,106,80,01-05-1970,8,1993,5
1999,Andre Reed,35,Allentown,PA,BUF,16,16,0,0,0,0,0,0,0,,0,52,536,10.31,1,WR,60,74,190,Kutztown Pennsylvania,#N/A,#N/A,29-01-1964,4,0,1
1999,Antowain Smith,27,Millbrook,AL,BUF,14,11,0,0,0,0,0,165,614,3.72,6,2,32,16,0,RB,101,74,232,Houston,98,88,14-03-1972,1,1997,3
1999,Bobby Collins,23,York,AL,BUF,14,4,0,0,0,0,0,0,0,,0,9,124,13.78,2,TE,24,76,246,North Alabama,#N/A,#N/A,26-08-1976,4,0,8
1999,Doug Flutie,37,Manchester,MD,BUF,15,15,264,478,3171,19,16,88,476,5.41,1,0,0,,0,QB,224,70,180,Boston Col.,116,74,23-10-1962,11,1985,10
1999,Eric Moulds,26,Lucedale,MS,BUF,14,14,0,0,0,0,0,1,1,1,0,65,994,15.29,7,WR,142,74,210,Mississippi St.,83,99,17-07-1973,1,1996,7
1999,Jay Riemersma,26,Evansville,IN,BUF,14,11,0,0,0,0,0,0,0,,0,37,496,13.41,4,TE,74,77,255,Michigan,124,64,17-05-1973,7,1996,5
1999,Jeremy McDaniel,23,New Bern,NC,BUF,1,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,73,197,Arizona,82,99,02-05-1976,0,0,5
1999,Jonathan Linton,25,Allentown,PA,BUF,16,2,0,0,0,0,0,205,695,3.39,5,29,228,7.86,1,RB,130,73,234,North Carolina,70,97,07-11-1974,5,1998,11
1999,Kamil Loud,23,Richmond,CA,BUF,7,0,0,0,0,0,0,0,0,,0,6,66,11,0,WR,7,73,190,Cal Poly-San Luis Obispo,#N/A,#N/A,25-06-1976,7,0,6
1999,Lennox Gordon,21,Higley,AZ,BUF,8,0,0,0,0,0,0,11,38,3.45,0,0,0,,0,RB,4,71,201,New Mexico,72,111,09-04-1978,0,0,4
1999,Peerless Price,23,Dayton,OH,BUF,16,4,0,0,0,0,0,1,-7,-7,0,31,393,12.68,3,WR,57,71,190,Tennessee,113,75,27-10-1976,2,1999,10
1999,Rob Johnson,26,Newport Beach,CA,BUF,2,1,25,34,298,2,0,8,61,7.63,0,0,0,,0,QB,26,76,204,USC,129,49,18-03-1973,4,1995,3
1999,Sam Gash,30,Hendersonville,NC,BUF,15,11,0,0,0,0,0,0,0,,0,20,163,8.15,2,RB,28,73,242,Penn St.,15,68,07-03-1969,8,1992,3
1999,Sheldon Jackson,23,Culver City,CA,BUF,13,4,0,0,0,0,0,0,0,,0,4,34,8.5,0,TE,3,75,250,Nebraska,134,61,24-07-1976,7,1999,7
1999,Thurman Thomas,33,Houston,TX,BUF,5,3,0,0,0,0,0,36,152,4.22,0,3,37,12.33,1,RB,25,70,200,Oklahoma St.,113,73,16-05-1966,2,1988,5
1999,Anthony Johnson,32,Indianapolis,IN,CAR,16,0,0,0,0,0,0,25,72,2.88,0,13,103,7.92,0,RB,18,73,225,Notre Dame,112,74,25-10-1967,2,1990,10
1999,Brian Kinchen,34,Baton Rouge,LA,CAR,16,0,0,0,0,0,0,0,0,,0,5,45,9,2,TE,17,74,240,LSU,146,48,06-08-1965,12,1988,8
1999,Chris Hetherington,27,North Branford,CT,CAR,14,0,0,0,0,0,0,2,7,3.5,0,0,0,,0,RB,1,75,245,Yale,#N/A,#N/A,27-11-1972,0,0,11
1999,Donald Hayes,24,Century,FL,CAR,13,1,0,0,0,0,0,0,0,,0,11,270,24.55,2,WR,39,76,220,Wisconsin,135,60,13-07-1975,4,1998,7
1999,Eric Metcalf,31,Seattle,WA,CAR,16,1,0,0,0,0,0,2,20,10,0,11,133,12.09,0,WR,15,70,188,Texas,149,45,23-01-1968,1,1989,1
1999,Fred Lane,24,Nashville,TN,CAR,15,5,0,0,0,0,0,115,475,4.13,1,23,163,7.09,0,RB,70,70,205,Lane,#N/A,#N/A,06-09-1975,0,0,9
1999,Jeff Lewis,26,Columbus,OH,CAR,2,0,2,3,11,0,0,4,1,0.25,0,0,0,,0,QB,1,74,211,Northern Arizona,#N/A,#N/A,17-04-1973,4,0,4
1999,Kris Mangum,26,Magee,MS,CAR,11,0,0,0,0,0,0,0,0,,0,1,6,6,0,TE,1,76,249,Alabama,114,58,15-08-1973,7,0,8
1999,Muhsin Muhammad,26,Lansing,MI,CAR,15,15,0,0,0,0,0,0,0,,0,96,1253,13.05,8,WR,173,74,217,Michigan St.,112,76,05-05-1973,2,1996,5
1999,Patrick Jeffers,26,Fort Campbell,KY,CAR,15,10,0,0,0,0,0,2,16,8,0,63,1082,17.17,12,WR,182,75,217,Virginia,90,95,02-02-1973,5,1996,2
1999,Rae Carruth,25,Sacramento,CA,CAR,5,5,0,0,0,0,0,1,4,4,0,14,200,14.29,0,WR,20,71,194,Colorado,78,108,20-01-1974,1,1997,1
1999,Steve Beuerlein,34,Los Angeles,CA,CAR,16,16,343,571,4436,36,15,27,124,4.59,2,0,0,,0,QB,316,75,220,Notre Dame,112,74,07-03-1965,4,1987,3
1999,Steve Bono,37,Norristown,PA,CAR,2,0,0,1,0,0,0,2,-2,-1,0,0,0,,0,QB,,76,215,UCLA,100,88,11-05-1962,6,1985,5
1999,Tim Biakabutuka,25,Kinshasa,Zaire,CAR,11,11,0,0,0,0,0,138,718,5.2,6,23,189,8.22,0,RB,127,73,215,Vanier Coll.,#N/A,#N/A,24-01-1974,1,0,1
1999,Wesley Walls,33,Batesville,MS,CAR,16,16,0,0,0,0,0,0,0,,0,63,822,13.05,12,TE,154,77,240,Mississippi,92,91,26-02-1966,2,1989,2
1999,William Floyd,27,St. Petersburg,FL,CAR,16,16,0,0,0,0,0,35,78,2.23,3,21,179,8.52,0,RB,44,73,242,Florida St.,130,54,17-02-1972,1,1994,2
1999,Alonzo Mayes,24,Oklahoma City,OK,CHI,16,9,0,0,0,0,0,0,0,,0,8,82,10.25,1,TE,14,76,259,Oklahoma St.,113,73,04-06-1975,4,1998,6
1999,Bobby Engram,26,Camden,SC,CHI,16,14,0,0,0,0,0,2,11,5.5,0,88,947,10.76,4,WR,120,70,188,Penn St.,15,68,07-01-1973,2,1996,1
1999,Cade McNown,22,Portland,OR,CHI,15,6,127,235,1465,8,10,32,160,5,0,0,0,,0,QB,89,73,208,West Linn,#N/A,#N/A,12-01-1977,1,0,1
1999,Curtis Conway,28,Los Angeles,CA,CHI,9,8,0,0,0,0,0,1,-2,-2,0,44,426,9.68,4,WR,66,73,196,USC,129,49,13-01-1971,1,1993,1
1999,Curtis Enis,23,Union City,OH,CHI,15,12,0,0,0,0,0,287,916,3.19,3,45,340,7.56,2,RB,156,73,242,Penn St.,15,68,15-06-1976,1,1998,6
1999,D'Wayne Bates,24,Aiken,SC,CHI,7,1,0,0,0,0,0,0,0,,0,2,19,9.5,0,WR,2,74,212,Northwestern,92,92,04-12-1975,3,1999,12
1999,Edgar Bennett,30,Jacksonville,FL,CHI,16,2,0,0,0,0,0,6,28,4.67,0,14,116,8.29,0,RB,14,73,217,Florida St.,130,54,15-02-1969,4,1992,2
1999,James Allen,24,Wynnewood,OK,CHI,12,3,0,0,0,0,0,32,119,3.72,0,9,91,10.11,0,RB,21,70,212,Oklahoma,160,39,28-03-1975,0,0,3
1999,Jim Miller,28,Grosse Pointe,MI,CHI,5,3,110,174,1242,7,6,3,9,3,0,0,0,,0,QB,67,74,226,Michigan St.,112,76,09-02-1971,6,1994,2
1999,John Allred,25,Del Mar,CA,CHI,16,5,0,0,0,0,0,0,0,,0,13,102,7.85,1,TE,16,76,249,USC,129,49,09-09-1974,2,1997,9
1999,Macey Brooks,24,Hampton,VA,CHI,9,2,0,0,0,0,0,1,7,7,0,14,160,11.43,0,WR,17,77,212,James Madison,#N/A,#N/A,02-02-1975,4,0,2
1999,Marcus Robinson,24,Fort Valley,GA,CHI,16,11,0,0,0,0,0,0,0,,0,84,1400,16.67,9,WR,194,75,215,South Carolina,110,76,27-02-1975,4,1997,2
1999,Marty Booker,23,Marrero,LA,CHI,9,4,0,0,0,0,0,1,8,8,0,19,219,11.53,3,WR,41,73,212,La-Monroe,65,111,31-07-1976,3,1999,7
1999,Ryan Wetnight,29,Fresno,CA,CHI,16,4,0,0,0,0,0,0,0,,0,38,277,7.29,1,TE,34,74,235,Stanford,101,81,05-11-1970,0,0,11
1999,Shane Matthews,29,Pascagoula,MS,CHI,8,7,167,275,1645,10,6,14,31,2.21,0,0,0,,0,QB,97,75,196,Florida,139,55,01-06-1970,0,0,6
1999,Ty Hallock,28,Grand Rapids,MI,CHI,15,4,0,0,0,0,0,0,0,,0,6,22,3.67,0,RB,2,74,252,Michigan St.,112,76,30-04-1971,7,1993,4
1999,Akili Smith,24,San Diego,CA,CIN,7,4,80,153,805,2,6,19,114,6,1,1,6,6,0,QB,46,75,220,Oregon,143,47,21-08-1975,1,1999,8
1999,Carl Pickens,29,Murphy,NC,CIN,16,14,1,1,6,0,0,0,0,,0,57,737,12.93,6,WR,110,74,206,Tennessee,113,75,23-03-1970,2,1992,3
1999,Clif Groce,27,College Station,TX,CIN,16,15,0,0,0,0,0,8,22,2.75,1,25,154,6.16,0,RB,24,71,245,Texas A&M,107,79,30-07-1972,0,0,7
1999,Corey Dillon,25,Seattle,WA,CIN,15,15,0,0,0,0,0,263,1200,4.56,5,31,290,9.35,1,RB,185,73,225,Washington,86,98,24-10-1974,2,1997,10
1999,Craig Yeast,23,Danville,KY,CIN,9,0,0,0,0,0,0,2,-16,-8,0,3,20,6.67,0,WR,,67,165,Kentucky,71,110,20-11-1976,4,1999,11
1999,Darnay Scott,27,St. Louis,MO,CIN,16,16,0,0,0,0,0,0,0,,0,68,1022,15.03,7,WR,144,73,200,San Diego St.,77,104,07-07-1972,2,1994,7
1999,James Hundon,28,San Francisco,CA,CIN,6,0,0,0,0,0,0,0,0,,0,1,5,5,0,WR,1,73,180,Portland St.,#N/A,#N/A,09-04-1971,0,0,4
1999,Jeff Blake,29,Daytona Beach,FL,CIN,14,12,215,389,2670,16,12,63,332,5.27,2,0,0,,0,QB,196,73,223,East Carolina,97,90,04-12-1970,6,1992,12
1999,Ki-Jana Carter,26,Westerville,OH,CIN,3,0,0,0,0,0,0,6,15,2.5,1,3,24,8,0,RB,10,70,222,Penn St.,15,68,12-09-1973,1,1995,9
1999,Marco Battaglia,26,Queens,NY,CIN,16,0,0,0,0,0,0,0,0,,0,14,153,10.93,0,TE,15,75,250,Rutgers,87,96,25-01-1973,2,1996,1
1999,Michael Basnight,22,Norfolk,VA,CIN,13,1,0,0,0,0,0,62,308,4.97,0,16,172,10.75,0,RB,48,73,235,North Carolina A&T,#N/A,#N/A,03-09-1977,0,0,9
1999,Nick Luchey,22,Royal Oak,MI,CIN,11,0,0,0,0,0,0,10,30,3,0,10,96,9.6,0,RB,13,74,270,Miami (FL),130,58,30-03-1977,5,1999,3
1999,Scott Covington,23,Laguna Niguel,CA,CIN,3,0,4,5,23,0,0,2,-4,-2,0,0,0,,0,QB,1,74,217,Miami (FL),130,58,17-01-1976,7,1999,1
1999,Steve Bush,25,Paradise Valley,AZ,CIN,13,0,0,0,0,0,0,0,0,,0,1,4,4,0,TE,,75,280,Arizona St.,101,86,04-07-1974,0,0,7
1999,Tony McGee,28,Terre Haute,IN,CIN,16,16,0,0,0,0,0,0,0,,0,26,344,13.23,2,TE,46,75,247,Michigan,124,64,21-04-1971,2,1993,4
1999,Willie Jackson,28,Gainesville,FL,CIN,16,2,0,0,0,0,0,0,0,,0,31,369,11.9,2,WR,51,73,212,Florida,139,55,16-08-1971,4,1994,8
1999,Damon Dunn,23,Fort Worth,TX,CLE,1,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,69,182,Stanford,101,81,15-03-1976,0,0,3
1999,Damon Gibson,24,Houston,TX,CLE,2,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,69,180,Iowa,108,79,25-02-1975,0,0,2
1999,Darrin Chiaverini,22,Orange County,CA,CLE,16,8,0,0,0,0,0,0,0,,0,44,487,11.07,4,WR,73,74,210,Colorado,78,108,12-10-1977,5,1999,10
1999,David Dunn,27,San Diego,CA,CLE,6,0,0,0,0,0,0,0,0,,0,1,4,4,0,WR,,75,215,Fresno St.,121,74,10-06-1972,5,1995,6
1999,George Jones,26,Greenville,SC,CLE,6,0,0,0,0,0,0,8,15,1.88,0,0,0,,0,RB,2,69,204,San Diego St.,77,104,31-12-1973,5,1997,12
1999,Irv Smith,28,Trenton,NJ,CLE,13,13,0,0,0,0,0,0,0,,0,24,222,9.25,1,TE,28,75,249,Notre Dame,112,74,13-10-1971,1,1993,10
1999,James Dearth,23,Fort Ord,CA,CLE,2,0,0,0,0,0,0,0,0,,0,0,0,,0,TE,,76,270,Tulsa,96,93,22-01-1976,6,1999,1
1999,Kevin Johnson,23,Trenton,NJ,CLE,16,16,0,1,0,0,0,1,-6,-6,0,66,986,14.94,8,WR,146,71,195,Syracuse,81,101,15-07-1976,2,1999,7
1999,Leslie Shepherd,30,Washington,DC,CLE,9,8,0,0,0,0,0,1,5,5,0,23,274,11.91,0,WR,28,71,186,Temple,59,117,03-11-1969,0,0,11
1999,Madre Hill,23,Malvern,AR,CLE,5,0,0,0,0,0,0,0,0,,0,0,0,,0,RB,,71,199,Arkansas,107,80,02-01-1976,7,1999,1
1999,Marc Edwards,25,Cincinnati,OH,CLE,16,14,0,0,0,0,0,6,35,5.83,0,27,212,7.85,2,RB,37,73,249,Notre Dame,112,74,17-11-1974,2,1997,11
1999,Mark Campbell,24,Clawson,MI,CLE,14,4,0,0,0,0,0,0,0,,0,9,131,14.56,0,TE,13,78,255,Michigan,124,64,06-12-1975,0,0,12
1999,Randy Palmer,24,Bexar County,TX,CLE,3,0,0,0,0,0,0,0,0,,0,0,0,,0,TE,,76,235,Texas A&M-Kingsville,#N/A,#N/A,12-11-1975,0,0,11
1999,Rashaan Salaam,25,San Diego,CA,CLE,2,0,0,0,0,0,0,1,2,2,0,0,0,,0,RB,,73,224,Colorado,78,108,08-10-1974,1,1995,10
1999,Terry Kirby,29,Hampton,VA,CLE,16,10,1,1,2,0,0,130,452,3.48,6,58,528,9.1,3,RB,152,73,221,Virginia,90,95,20-01-1970,3,1993,1
1999,Tim Couch,22,Hyden,KY,CLE,15,14,223,399,2447,15,13,40,267,6.68,1,0,0,,0,QB,167,76,220,Kentucky,71,110,31-07-1977,1,1999,7
1999,Ty Detmer,32,San Marcos,TX,CLE,5,2,47,91,548,4,2,6,38,6.33,1,0,0,,0,QB,44,73,189,BYU,122,67,30-10-1967,9,1992,10
1999,Zola Davis,24,Charleston,SC,CLE,6,1,0,0,0,0,0,0,0,,0,2,38,19,0,WR,4,73,185,South Carolina,110,76,16-01-1975,0,0,1
1999,Alvin Harper,31,Lake Wales,FL,DAL,2,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,75,210,Tennessee,113,75,06-07-1978,1,1991,7
1999,Chris Brazzell,23,Fort Worth,TX,DAL,5,0,0,0,0,0,0,0,0,,0,5,114,22.8,0,WR,11,74,193,Angelo State (TX),#N/A,#N/A,22-05-1976,6,0,5
1999,Chris Warren,31,Silver Spring,MD,DAL,16,1,0,0,0,0,0,99,403,4.07,2,34,224,6.59,0,RB,75,74,228,Virginia,90,95,24-01-1968,4,1990,1
1999,Daryl Johnston,33,Youngstown,NY,DAL,1,0,0,0,0,0,0,0,0,,0,1,4,4,0,RB,,74,238,Syracuse,81,101,10-02-1966,2,1989,2
1999,David LaFleur,25,Lake Charles,LA,DAL,16,16,0,0,0,0,0,0,0,,0,35,322,9.2,7,TE,74,79,272,LSU,146,48,29-01-1974,1,1997,1
1999,Emmitt Smith,30,Pensacola,FL,DAL,15,15,0,0,0,0,0,329,1397,4.25,11,27,119,4.41,2,RB,230,69,221,Florida,139,55,15-05-1969,1,1990,5
1999,Eric Bjornson,28,San Francisco,CA,DAL,16,6,0,0,0,0,0,1,20,20,1,10,131,13.1,0,TE,21,76,236,Washington,86,98,15-12-1971,4,1995,12
1999,Ernie Mills,31,Dunnellon,FL,DAL,11,7,0,0,0,0,0,1,-1,-1,0,30,325,10.83,0,WR,32,71,192,Florida,139,55,28-10-1968,3,1991,10
1999,Jason Garrett,33,Abington,PA,DAL,5,2,32,64,314,3,1,6,12,2,0,0,0,,0,QB,24,74,200,Princeton,#N/A,#N/A,28-03-1966,0,0,3
1999,Jeff Ogden,24,Snohomish,WA,DAL,16,0,0,0,0,0,0,0,0,,0,12,144,12,0,WR,14,73,190,East. Washington,#N/A,#N/A,22-02-1975,0,0,2
1999,Michael Irvin,33,Fort Lauderdale,FL,DAL,4,4,0,0,0,0,0,0,0,,0,10,167,16.7,3,WR,35,74,207,Miami (FL),130,58,05-03-1966,1,1988,3
1999,Mike Lucky,24,Antioch,CA,DAL,14,4,0,0,0,0,0,0,0,,0,5,25,5,0,TE,3,78,280,Arizona,82,99,23-11-1975,7,1999,11
1999,Robert Chancey,27,Macon,AL,DAL,3,0,0,0,0,0,0,14,57,4.07,0,0,0,,0,RB,6,73,250,none,#N/A,#N/A,07-09-1972,0,0,9
1999,Robert Thomas,25,Little Rock,AR,DAL,16,7,0,0,0,0,0,8,35,4.38,0,10,64,6.4,0,RB,10,73,270,Henderson St.,#N/A,#N/A,01-12-1974,0,0,12
